magn_x 	magn_z 	magn_y 	timestamp 	
-270 	132 	39 	1520878982100262421 	
-270 	132 	39 	1520878982110119879 	
-270 	132 	39 	1520878982120022087 	
-270 	132 	39 	1520878982129999254 	
-270 	132 	39 	1520878982140022212 	
-268 	128 	35 	1520878982176454504 	
-268 	128 	35 	1520878982180154754 	
-268 	128 	35 	1520878982190060671 	
-268 	128 	35 	1520878982200021712 	
-268 	128 	35 	1520878982210039754 	
-268 	128 	35 	1520878982220020671 	
-268 	128 	35 	1520878982230040796 	
-268 	128 	35 	1520878982240060337 	
-268 	128 	35 	1520878982250000796 	
-268 	128 	35 	1520878982260055504 	
-268 	128 	35 	1520878982270081837 	
-269 	129 	35 	1520878982280055671 	
-269 	129 	35 	1520878982290079962 	
-269 	129 	35 	1520878982300055504 	
-269 	129 	35 	1520878982310118129 	
-269 	129 	35 	1520878982320135212 	
-269 	129 	35 	1520878982330078462 	
-269 	129 	35 	1520878982340100129 	
-268 	129 	36 	1520878982350124129 	
-268 	129 	36 	1520878982360317171 	
-268 	129 	36 	1520878982370221504 	
-268 	129 	36 	1520878982380223296 	
-268 	129 	36 	1520878982390159254 	
-268 	129 	36 	1520878982404477421 	
-268 	129 	37 	1520878981604302190 	
-268 	129 	37 	1520878981614506982 	
-268 	129 	37 	1520878981624216565 	
-268 	129 	37 	1520878981634278274 	
-268 	129 	37 	1520878981644295899 	
-268 	129 	37 	1520878981654484315 	
-267 	130 	35 	1520878981664864899 	
-267 	130 	35 	1520878981674265440 	
-267 	130 	35 	1520878981684303065 	
-267 	130 	35 	1520878981694324440 	
-267 	130 	35 	1520878981704256565 	
-267 	130 	35 	1520878981714396482 	
-267 	130 	35 	1520878981724240774 	
-267 	128 	38 	1520878981734255107 	
-267 	128 	38 	1520878981744120149 	
-267 	128 	38 	1520878981754136232 	
-267 	128 	38 	1520878981764180899 	
-267 	128 	38 	1520878981774101024 	
-267 	128 	38 	1520878981784140440 	
-267 	128 	37 	1520878981794142732 	
-267 	128 	37 	1520878981804140315 	
-267 	128 	37 	1520878981814100815 	
-267 	128 	37 	1520878981824140107 	
-267 	128 	37 	1520878981834181149 	
-267 	128 	37 	1520878981844101940 	
-268 	129 	36 	1520878981878601024 	
-268 	129 	36 	1520878981884180899 	
-268 	129 	36 	1520878981894134815 	
-268 	129 	36 	1520878981904140440 	
-268 	129 	36 	1520878981914215024 	
-268 	129 	37 	1520878981924241107 	
